artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Tinie Tempah;Girls Like (feat. Zara Larsson);196000;2016;120.028;hip hop, pop, Dance/Electronic;0.804;0;-3.406
*NSYNC;It's Gonna Be Me;191040;2000;165.09;pop;0.874;0;-4.666
T-Pain;I'm Sprung;231040;2005;99.991;hip hop, pop, R&B;0.329;0;-11.617
D12;How Come;249533;2004;89.983;hip hop, pop, rock;0.858;9;-2.221
Bruno Mars;Locked out of Heaven;233478;2012;143.994;pop;0.698;5;-4.165
Ed Sheeran;"I See Fire - From ""The Hobbit - The Desolation Of Smaug""";300840;2013;152.037;pop;0.0549;10;-20.514
Lil' Kim;Magic Stick;359973;2019;92.98;hip hop, pop, R&B;0.498;2;-7.872
Mabel;Mad Love;169813;2019;198.065;pop, Dance/Electronic;0.803;0;-2.974
Drake;God's Plan;198973;2018;77.169;hip hop, pop, R&B;0.449;7;-9.211
MIKA;Grace Kelly;187733;2006;122.229;pop;0.828;0;-5.799
Benny Benassi;Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz;285570;2003;130.017;pop, Dance/Electronic;0.698;11;-3.626
Drake;Money In The Grave (Drake ft. Rick Ross);205426;2019;100.541;hip hop, pop, R&B;0.502;10;-4.045
Nickelback;Far Away;238173;2005;132.918;rock, metal;0.797;6;-5.153
Machine Gun Kelly;Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha);202804;2017;82.034;hip hop, pop;0.718;3;-5.232
Terror Squad;Lean Back;247426;2004;95.321;hip hop;0.916;1;-3.344
Ying Yang Twins;Salt Shaker;252440;2003;101.965;hip hop, pop;0.697;11;-6.022
Nelly Furtado;Promiscuous;242293;2006;114.328;hip hop, pop, latin;0.97;10;-6.098
Avant;Separated;255600;2000;108.241;pop, R&B;0.48;0;-5.564
Alessia Cara;Scars To Your Beautiful;230226;2016;194.169;pop, R&B;0.739;0;-5.74
Missy Elliott;One Minute Man (feat. Ludacris);252986;2001;93.839;hip hop, pop, R&B;0.669;9;-8.419
Katy Perry;This Is How We Do;204285;2013;96.0;pop;0.636;9;-6.028
Kelly Rowland;Commander;218106;2011;124.638;hip hop, pop, R&B;0.876;11;-3.859
Michel Teló;Ai Se Eu Te Pego - Live;166866;2012;96.055;country, latin;0.935;11;-4.55
P!nk;Most Girls;298960;2000;97.922;pop;0.732;2;-6.046
One Direction;Live While We're Young;200186;2012;126.015;pop;0.837;2;-2.063
Westlife;You Raise Me Up;241066;2005;75.048;pop;0.358;10;-6.596
Chris Brown;New Flame (feat. Usher & Rick Ross);244226;2014;141.967;hip hop, pop, R&B;0.629;1;-4.292
Natti Natasha;Criminal;232549;2017;79.997;pop, latin;0.813;2;-3.023
Avicii;Wake Me Up;247426;2013;124.08;pop, Dance/Electronic;0.783;2;-5.697
Lauv;I Like Me Better;197436;2018;91.97;pop, Dance/Electronic;0.505;9;-7.621
Swedish House Mafia;Don't You Worry Child - Radio Edit;212862;2012;129.042;pop, Dance/Electronic;0.84;11;-3.145
Twenty One Pilots;Ride;214506;2015;74.989;rock;0.713;6;-5.355
Kanye West;All Of The Lights;299613;2010;142.113;hip hop;0.803;1;-3.284
David Guetta;Memories (feat. Kid Cudi);210853;2010;129.983;hip hop, pop, Dance/Electronic;0.916;8;-3.932
Megan Thee Stallion;Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign);199427;2019;98.985;hip hop, pop, R&B;0.814;0;-4.568
Lil Nas X;Panini;114893;2019;153.848;hip hop, pop;0.594;5;-6.146
Jagged Edge;He Can't Love U;244053;2000;126.279;hip hop, pop, R&B;0.836;8;-3.972
Mike Perry;The Ocean (feat. Shy Martin);183414;2016;90.037;pop, Dance/Electronic;0.575;5;-6.478
Flo Rida;I Cry;223800;2012;126.035;hip hop, pop;0.822;4;-5.441
Michelle Branch;All You Wanted;217680;2001;96.103;pop, Folk/Acoustic;0.72;8;-9.101
Ashanti;Foolish;227386;2002;90.119;hip hop, pop, R&B;0.695;0;-5.763
*NSYNC;Bye Bye Bye;200560;2000;172.656;pop;0.928;8;-4.806
Paramore;Still into You;216013;2013;136.01;pop, rock;0.923;5;-3.763
